Epoch,Batch,Cost
0,0,0.007623022887855768
0,1,0.005673750303685665
0,2,0.006549938581883907
0,3,0.005727809388190508
0,4,0.005877797957509756
0,5,0.004964244551956654
0,6,0.004592251032590866
0,7,0.004400462843477726
0,8,0.003842082340270281
0,9,0.0044053164310753345
0,10,0.004338548053056002
0,11,0.004172067157924175
0,12,0.0031405386980623007
0,13,0.0034510167315602303
0,14,0.003771079471334815
0,15,0.0039316946640610695
0,16,0.0033729602582752705
0,17,0.0033169498201459646
0,18,0.0026557843666523695
0,19,0.003713128389790654
0,20,0.003564093029126525
0,21,0.0033412324264645576
0,22,0.0028350416105240583
0,23,0.002587107941508293
0,24,0.0028746079187840223
0,25,0.0032623654697090387
0,26,0.003677750937640667
0,27,0.002593414392322302
0,28,0.0031878279987722635
0,29,0.002445128746330738
0,30,0.002125668805092573
0,31,0.003121732734143734
0,32,0.0027611651457846165
0,33,0.0031546386890113354
0,34,0.003189273178577423
0,35,0.0027348289731889963
0,36,0.0029381231870502234
0,37,0.0024937144480645657
0,38,0.0021198135800659657
0,39,0.0023621111176908016
0,40,0.0020075724460184574
0,41,0.0026256744749844074
0,42,0.0032417301554232836
0,43,0.002363647101446986
0,44,0.0030282686930149794
0,45,0.0022207731381058693
0,46,0.002458833158016205
0,47,0.0025534559972584248
0,48,0.0027489825151860714
0,49,0.0021344770211726427
0,50,0.002332352800294757
