Epoch,Batch,Cost
0,0,0.007659238297492266
0,1,0.006467001046985388
0,2,0.004026507958769798
0,3,0.0038530011661350727
0,4,0.002645112108439207
0,5,0.0024010876659303904
0,6,0.0019465712830424309
0,7,0.0018838184187188745
0,8,0.0011469944147393107
0,9,0.0010512000881135464
0,10,0.001325345248915255
0,11,0.0012496297713369131
0,12,0.0012227061670273542
0,13,0.0010922884102910757
0,14,0.0010404735803604126
0,15,0.0008665031054988503
0,16,0.0005991996149532497
0,17,0.0010674414224922657
0,18,0.0007932620937936008
0,19,0.0004973858594894409
0,20,0.0026503854896873236
0,21,0.0007593674818053842
0,22,0.0006192918517626822
0,23,0.000356656382791698
0,24,0.0004268133488949388
0,25,0.0003655121836345643
0,26,0.00025151990121230483
0,27,0.0002751666179392487
0,28,0.0002198248985223472
0,29,0.0005410644807852805
0,30,0.00016160660015884787
0,31,0.00021048418420832604
0,32,0.00022299248666968197
0,33,0.00020160875283181667
0,34,0.00026135111693292856
0,35,0.00018682009249459952
0,36,0.00015667553816456348
0,37,0.00020339322509244084
0,38,0.0001334225235041231
0,39,0.0006342438864521682
0,40,0.0001579856761964038
0,41,0.00014875296619720757
0,42,0.00029358669416978955
0,43,0.00013164574920665473
0,44,0.00017002814274746925
0,45,0.00015266869741026312
0,46,0.00011969573824899271
0,47,0.0001678359549259767
0,48,0.00011446113785495982
0,49,0.0001291251537622884
0,50,0.00011138262925669551
0,51,6.575228326255456e-05
0,52,0.00012104103370802477
0,53,0.00010636304068611935
0,54,9.514590783510357e-05
0,55,8.156603144016117e-05
0,56,7.705664756940678e-05
0,57,7.96004751464352e-05
0,58,6.0863127146149054e-05
0,59,6.319679960142821e-05
0,60,0.00011497605009935796
0,61,0.00017191025835927576
0,62,6.974030839046463e-05
0,63,5.751102071371861e-05
0,64,0.00010584508709143847
0,65,9.748251613928005e-05
0,66,5.018566662329249e-05
0,67,4.949146386934444e-05
0,68,0.0002851798490155488
0,69,4.795720451511443e-05
0,70,0.00010676860256353393
0,71,8.806036203168333e-05
0,72,6.0975231463089585e-05
0,73,8.034263009903952e-05
0,74,7.957101479405537e-05
0,75,9.059607691597193e-05
0,76,6.169261178001761e-05
0,77,7.433959399349988e-05
0,78,7.699552224949002e-05
0,79,7.625795842614025e-05
