Epoch,Batch,Cost
0,0,0.008759316056966782
0,1,0.00620003417134285
0,2,0.005196168087422848
0,3,0.006131717003881931
0,4,0.003626633435487747
0,5,0.0032368332613259554
0,6,0.0025804273318499327
0,7,0.0022207978181540966
0,8,0.0018048551864922047
0,9,0.0020398558117449284
0,10,0.0017762602074071765
0,11,0.0013328620698302984
0,12,0.0016302259173244238
0,13,0.002088345354422927
0,14,0.0016687056049704552
0,15,0.0009536668076179922
0,16,0.0010334951803088188
0,17,0.0009987124940380454
0,18,0.0008218098664656281
0,19,0.0008868423174135387
0,20,0.0006018347339704633
0,21,0.001318139024078846
0,22,0.0009454929386265576
0,23,0.0004998432705178857
0,24,0.0011766394600272179
0,25,0.0002800540823955089
0,26,0.0002808168064802885
0,27,0.00043904289486818016
0,28,0.00022425741190090775
0,29,0.002573268488049507
0,30,0.00029220027499832213
0,31,0.0009344671270810068
0,32,0.00037682094261981547
0,33,0.00041586277075111866
0,34,0.00014640427252743393
0,35,0.0002929868351202458
0,36,0.00023984683502931148
0,37,0.0002244515053462237
0,38,0.0002066258166451007
0,39,0.0002092159993480891
0,40,0.0002173106768168509
0,41,0.00020201246661599725
0,42,0.00011667422950267792
0,43,0.00018364035349804908
0,44,0.0001111502424464561
0,45,0.0004946806002408266
0,46,0.0001602289266884327
0,47,0.00012353769852779806
0,48,9.942972246790305e-05
0,49,0.00012622709618881345
0,50,0.00014520302647724748
0,51,0.0001455211895518005
0,52,0.00011163348244735971
0,53,0.00016993300232570618
0,54,0.00012822214921470731
0,55,0.00012596516171470284
0,56,0.00010721983562689275
0,57,0.0009559105383232236
0,58,7.648475730093196e-05
0,59,0.00012095387501176447
0,60,0.0003928120422642678
0,61,0.00011797509796451777
0,62,6.804714939789847e-05
0,63,9.027362102642655e-05
0,64,6.862318696221337e-05
0,65,0.0006647263071499765
0,66,9.973704436561093e-05
0,67,6.31884322501719e-05
0,68,0.00016762668383307755
0,69,0.00010192079207627103
0,70,0.00012186421372462064
0,71,0.00010255056258756667
0,72,3.743821434909478e-05
0,73,4.368994996184483e-05
0,74,0.00010186692088609561
0,75,0.00012613438593689352
0,76,5.511529525392689e-05
0,77,9.520949242869392e-05
0,78,4.093731695320457e-05
0,79,4.257748514646664e-05
0,80,7.675412780372426e-05
0,81,3.133896825602278e-05
0,82,0.0001192015697597526
0,83,9.514493285678327e-05
0,84,2.915496406785678e-05
0,85,7.625458238180727e-05
0,86,6.803328142268583e-05
0,87,4.057219484820962e-05
0,88,2.1415156879811548e-05
0,89,5.899906682316214e-05
0,90,0.00010800719610415399
0,91,2.3135733499657363e-05
0,92,0.0002640330349095166
0,93,4.0929859096650034e-05
0,94,2.9996270313858986e-05
0,95,0.0009643753874115646
0,96,4.1595711081754416e-05
0,97,2.7929210773436353e-05
0,98,6.497406138805673e-05
